Distance,Delivery
1,Full Length
2,Full Length
3,Full Length
4,Full Length
5,Full Length
6,Full Length
7,Full Length
8,Full Length
9,Full Length
10,Full Length
11,Full Length
12,Good Length
13,Good Length
14,Good Length
15,Good Length
16,Good Length
17,Good Length
18,Good Length
19,Good Length
20,Good Length
21,Good Length
22,Good Length
23,Good Length
24,Good Length
25,Short Length
26,Short Length
27,Short Length
28,Short Length
29,Short Length
30,Short Length
31,Short Length
32,Short Length
33,Short Length
