Date,Player(Team),Pos,Runs
24-Mar-2019,DA Warner(Sunrisers Hyderabad),1,85
24-Mar-2019,N Rana(Kolkata Knight Riders),2,68
24-Mar-2019,RR Pant(Delhi Capitals),5,78
24-Mar-2019,Yuvraj Singh(Mumbai Indians),4,53
25-Mar-2019,CH Gayle(Kings XI Punjab),2,79
25-Mar-2019,JC Buttler(Rajasthan Royals),2,69
26-Mar-2019,S Dhawan(Delhi Capitals),2,51
27-Mar-2019,RV Uthappa(Kolkata Knight Riders),3,67
27-Mar-2019,N Rana(Kolkata Knight Riders),4,63
27-Mar-2019,MA Agarwal(Kings XI Punjab),3,58
27-Mar-2019,DA Miller(Kings XI Punjab),5,59
28-Mar-2019,AB de Villiers(Royal Challengers Bangalore),4,70
29-Mar-2019,AM Rahane(Rajasthan Royals),1,70
29-Mar-2019,SV Samson(Rajasthan Royals),3,102
29-Mar-2019,DA Warner(Sunrisers Hyderabad),1,69
30-Mar-2019,Q de Kock(Mumbai Indians),2,60
30-Mar-2019,KL Rahul(Kings XI Punjab),1,71
30-Mar-2019,KD Karthik(Kolkata Knight Riders),5,50
30-Mar-2019,AD Russell(Kolkata Knight Riders),7,62
30-Mar-2019,PP Shaw(Delhi Capitals),1,99
31-Mar-2019,JM Bairstow(Sunrisers Hyderabad),1,114
31-Mar-2019,DA Warner(Sunrisers Hyderabad),2,100
31-Mar-2019,MS Dhoni(Chennai Super Kings),5,75
02-Apr-2019,PA Patel(Royal Challengers Bangalore),2,67
02-Apr-2019,JC Buttler(Rajasthan Royals),2,59
03-Apr-2019,SA Yadav(Mumbai Indians),3,59
03-Apr-2019,KM Jadhav(Chennai Super Kings),4,58
05-Apr-2019,V Kohli(Royal Challengers Bangalore),2,84
05-Apr-2019,AB de Villiers(Royal Challengers Bangalore),3,63
06-Apr-2019,F du Plessis(Chennai Super Kings),2,54
06-Apr-2019,KL Rahul(Kings XI Punjab),1,55
06-Apr-2019,SN Khan(Kings XI Punjab),4,67
07-Apr-2019,SS Iyer(Delhi Capitals),3,67
07-Apr-2019,SPD Smith(Rajasthan Royals),3,73
07-Apr-2019,CA Lynn(Kolkata Knight Riders),1,50
08-Apr-2019,DA Warner(Sunrisers Hyderabad),1,70
08-Apr-2019,KL Rahul(Kings XI Punjab),1,71
08-Apr-2019,MA Agarwal(Kings XI Punjab),3,55
09-Apr-2019,AD Russell(Kolkata Knight Riders),7,50
10-Apr-2019,KL Rahul(Kings XI Punjab),1,100
10-Apr-2019,CH Gayle(Kings XI Punjab),2,63
10-Apr-2019,KA Pollard(Mumbai Indians),4,83
11-Apr-2019,AT Rayudu(Chennai Super Kings),4,57
11-Apr-2019,MS Dhoni(Chennai Super Kings),6,58
12-Apr-2019,Shubman Gill(Kolkata Knight Riders),2,65
12-Apr-2019,S Dhawan(Delhi Capitals),2,97
13-Apr-2019,Q de Kock(Mumbai Indians),2,81
13-Apr-2019,JC Buttler(Rajasthan Royals),2,89
13-Apr-2019,CH Gayle(Kings XI Punjab),2,99
13-Apr-2019,V Kohli(Royal Challengers Bangalore),2,67
13-Apr-2019,AB de Villiers(Royal Challengers Bangalore),3,59
14-Apr-2019,CA Lynn(Kolkata Knight Riders),1,82
14-Apr-2019,SK Raina(Chennai Super Kings),3,58
14-Apr-2019,DA Warner(Sunrisers Hyderabad),1,51
15-Apr-2019,AB de Villiers(Royal Challengers Bangalore),3,75
15-Apr-2019,MM Ali(Royal Challengers Bangalore),4,50
16-Apr-2019,KL Rahul(Kings XI Punjab),1,52
16-Apr-2019,RA Tripathi(Rajasthan Royals),1,50
17-Apr-2019,DA Warner(Sunrisers Hyderabad),1,50
17-Apr-2019,JM Bairstow(Sunrisers Hyderabad),2,61
19-Apr-2019,V Kohli(Royal Challengers Bangalore),1,100
19-Apr-2019,MM Ali(Royal Challengers Bangalore),4,66
19-Apr-2019,N Rana(Kolkata Knight Riders),5,85
19-Apr-2019,AD Russell(Kolkata Knight Riders),6,65
20-Apr-2019,Q de Kock(Mumbai Indians),1,65
20-Apr-2019,SPD Smith(Rajasthan Royals),3,59
20-Apr-2019,CH Gayle(Kings XI Punjab),2,69
20-Apr-2019,S Dhawan(Delhi Capitals),2,56
20-Apr-2019,SS Iyer(Delhi Capitals),3,58
21-Apr-2019,CA Lynn(Kolkata Knight Riders),1,51
21-Apr-2019,DA Warner(Sunrisers Hyderabad),1,67
21-Apr-2019,JM Bairstow(Sunrisers Hyderabad),2,80
21-Apr-2019,PA Patel(Royal Challengers Bangalore),1,53
21-Apr-2019,MS Dhoni(Chennai Super Kings),6,84
22-Apr-2019,AM Rahane(Rajasthan Royals),1,105
22-Apr-2019,SPD Smith(Rajasthan Royals),3,50
22-Apr-2019,S Dhawan(Delhi Capitals),2,54
22-Apr-2019,RR Pant(Delhi Capitals),4,78
23-Apr-2019,DA Warner(Sunrisers Hyderabad),1,57
23-Apr-2019,MK Pandey(Sunrisers Hyderabad),3,83
23-Apr-2019,SR Watson(Chennai Super Kings),1,96
24-Apr-2019,AB de Villiers(Royal Challengers Bangalore),3,82
25-Apr-2019,KD Karthik(Kolkata Knight Riders),4,97
26-Apr-2019,RG Sharma(Mumbai Indians),1,67
27-Apr-2019,MK Pandey(Sunrisers Hyderabad),3,61
28-Apr-2019,S Dhawan(Delhi Capitals),2,50
28-Apr-2019,SS Iyer(Delhi Capitals),3,52
28-Apr-2019,Shubman Gill(Kolkata Knight Riders),1,76
28-Apr-2019,CA Lynn(Kolkata Knight Riders),2,54
28-Apr-2019,AD Russell(Kolkata Knight Riders),3,80
28-Apr-2019,HH Pandya(Mumbai Indians),6,91
29-Apr-2019,DA Warner(Sunrisers Hyderabad),1,81
29-Apr-2019,KL Rahul(Kings XI Punjab),1,79
01-May-2019,SK Raina(Chennai Super Kings),3,59
02-May-2019,Q de Kock(Mumbai Indians),2,69
