,Date,Location / Operator,Aircraft Type / Registration,Fatalities
0,05 Jan 2000,"Abuja, NigeriaSkypower Express Airways",Embraer 110P1A Bandeirante5N-AXL,1/16(1)
1,10 Jan 2000,"Niederhasli, SwitzerlandCrossair",Saab 340BHB-AKK,10/10(0)
2,13 Jan 2000,"Off Marsa el-Brega, LibyaAvisto",Shorts 360-300HB-AAM,22/41(0)
3,15 Jan 2000,"San Jose, Costa RicaTACA",Let 410UVP-EYS-09-C,5/20(0)
4,30 Jan 2000,"Off Abidjan, Ivory CoastKenya Airways",AirbusA310-3045Y-BEN,169/179(0)
5,31 Jan 2000,"Off Point Mugu, CaliforniaAlaska Airlines",McDonnell Douglas MD-83N963AS,88/88(0)
6,02 Feb 2000,"Tehran, IranMilitary - Islamic Republic of Iran Air Force",Lockheed C-130 Hercules?,8/8(0)
7,16 Feb 2000,"Sacramento, CaliforniaEmery Worldwide",McDonnell Douglas DC-8-71FN8079U,3/3(0)
8,05 Mar 2000,"Burbank, CalilforniaSouthwest Airlines",Boeing B-737-3T5N668SW,0/142(0)
9,09 Mar 2000,"Moscow, RussiaVologodskiye Airlines",Yakovlev YAK-40RA-88170,9/9(0)
10,17 Mar 2000,"Near Kuna Yala, PanamaAeroperlas",de Havilland Canada DHC-6 Twin Otter 300HP-1267APP,10/10(0)
11,17 Mar 2000,"Ennadai Lake, CanadaPoints North Air Services",Douglas C-47A-5-DKC-FNTF,2/2(0)
12,22 Mar 2000,"Herreira, SpainMilitary - Ejército del Aire",CASA 212-DE Aviocar 200TM-12D-73,7/7(0)
13,24 Mar 2000,"Kadirana, Sri LankaSky Cabs",Antonov AN-12 (freighter)RA-11302,6/8(2)
14,25 Mar 2000,"Huambo, AngolaUralex",Antonov AN-32D2-MAJ,3/33(0)
15,30 Mar 2000,"Near Anuradhapura, Sri LankaMilitary - Sri Lankan Air Force",Antonov An-26UR-79170,40/40(0)
16,05 Apr 2000,"Marianna, FloridaBankair",Learjet 35AN86BE,3/3(0)
17,19 Apr 2000,"Pepa ,CongoMilitary - Centrafricain Airlines",Antonov AN-8TL-ACM,24/24(0)
18,19 Apr 2000,"Samal Island, PhilippinesAir Philippines",Boeing B-737-2H4RP-C3010,131/131(0)
19,29 Apr 2000,"Bapi, Papua New GuineaNorth Coast Aviation",Britten-Norman BN-2A-20 IslanderP2-ISA,4/4(0)
20,02 May 2000,"Lyon Satolas, FranceNorthern Executive Aviation",Learjet 35AG-MURI,2/5(0)
21,03 May 2000,"Kurupung, GuyanaTrans Guyana Airways",Britten-Norman BN-2A-9 Islander8R-GAC,1/1(0)
22,10 May 2000,"Kaunakakai, HawaiiPrice Aircraft Company",Rockwell Sabreliner 65N241H,6/6(0)
23,17 May 2000,"Moanda, GabonAvirex",Beechcraft 1900C-1TR-LFK,3/10(0)
24,21 May 2000,"Near Wilkes-Barre, PennsylvaniaExecutive Airlines",BAe Jetstream 3101-31N16EJ,19/19(0)
25,25 May 2000,"Near Manila, PhilippinesPhilippine Air Lines",Airbus A.330-301F-OHZN,1/298(0)
26,31 May 2000,"Off Whyalla, AustraliaWhyalla Airlines",Piper PA-31-350 NavajoVH-MZK,8/8(0)
27,05 Jun 2000,"Accra, GhanaGhana Airlink",Fokker F-27 Friendship 600G-524,7/52(0)
28,22 Jun 2000,"Shitai, ChinaWuhan Airlines",Xian Yunshuji Y-7-100CB-3479,44/44(7)
29,23 Jun 2000,"Boca Raton, FloridaUniversal Jet Aviation",Learjet 55N220JC,3/3(0)
30,27 Jun 2000,"Off Shimano, JapanMilitary - Japanese Air Self-Defence Force",Kawasaki C-1A88-1027,5/5(0)
31,02 Jul 2000,"Off Cagayancillo, PhilippinesMilitary - Philippine Air Force",GAF Nomad N-22CN286,14/15(0)
32,08 Jul 2000,"Near Villahermosa, MexicoAerocaribe",British Aerospace BAe Jetstream 32EPN912FJ,19/19(0)
33,09 Jul 2000,"Villavicencio, ColombiaCORAL Colombia",Curtiss C-46A-60-CSHK-851P,13/19(0)
34,13 Jul 2000,"Raleigh, North CarolinaWin Win Aviation",de Havilland Canada DHC-6 Twin Otter 200N201RH,1/3(0)
35,17 Jul 2000,"Patna, IndiaIndian Airlines/Alliance Airlines",Boeing B-737-2A8 AdvancedVT-EGD,55/58(5)
36,19 Jul 2000,"Linneus, MaineAirwave Transport",Grumman G-159 Gulfstream IC-GNAK,2/2(0)
37,20 Jul 2000,"Nassau, BahamasAllied Air Freight",Douglas C-47A-10-DKN54AA,2/2(0)
38,21 Jul 2000,"Maui, HawaiiBlue Hawaiian Helicopters",Aerospatiale AS355-F1N510TG,7/7(0)
39,25 Jul 2000,"Gonesse, FranceAir France",Aerospatiale BAe Concorde 101F-BTSC,109/109(4)
40,26 Jul 2000,"Mafraq, JordanMilitary - Royal Jordanian Air Force",Lockheed C-130H Hercules348,13/13(0)
41,27 Jul 2000,"Jodhura, NepalRoyal Nepal Airlines",de Havilland Canada DHC-6 Twin Otter 3009N-ABP,25/25(0)
42,02 Aug 2000,"Cubatao, BrazilAir taxi - Lider Air Taxi",Sikorsky S-76PT-HRD,6/6(0)
43,06 Aug 2000,"Puerto Montt, ChileMilitary - Fuerza Aérea de Chile",Casa 212-AB10 Aviocar230,14/14(0)
44,09 Aug 2000,"Burlington Township, New JerseyPatuxent Airways / Private",Piper Navajo PA-31/ Piper Seminole PA-44N27944 / N2225G,11/11(0)
45,12 Aug 2000,"Near Tshikapa, CongoStaer Air",Antonov AN-26B9Q-CJI,27/27(0)
46,23 Aug 2000,"Off Manama, BahrainGulf Air",Airbus A320-212A4O-EK,143/143(0)
47,02 Sep 2000,"Mount Montezuma, ColombiaMilitary - Fuerza Aérea Colombiana",Douglas C-47FAC1659,7/7(0)
48,04 Sep 2000,"Near Burketown, AustraliaCharter - Central Air",Beechcraft SKA 200VH-SKC,8/8(0)
49,16 Sep 2000,"Kumarapura, Sri LankaMilitary - Sri Lanka Air Force",Mil Mi-17?,14/14(0)
50,06 Oct 2000,"Reynosa, MexicoAeromexico",McDonnell Douglas DC-9-31N936ML,0/88(4)
51,08 Oct 2000,"Port Radium, Northwest Territories, CanadaSummit Air Charters",Shorts SC.7 Skyvan 3-100C-FSDZ,3/3(0)
52,10 Oct 2000,"Wichita, KansasBombardier Aerospace",Canadair CL-600-2B16 Challenger 604C-FTBZ,2/3(0)
53,16 Oct 2000,"Hillsboro, MissouriPrivate",Cessna 335N8354N,3/3(0)
54,19 Oct 2000,"Near Sam Neua, LaosLao Aviation",Harbin Yunshuji Y-12-IIRDPL-34130,8/17(0)
55,25 Oct 2000,"Near Batumi, Republic of GeorgiaMilitary - Russian Air Force",Ilyushin IL-18DRA-74295,86/86(0)
56,31 Oct 2000,"Near Monaquimbundo, AngolaAca-Ancargo",Antonov AN-26D2-FDI,44/44(0)
57,31 Oct 2000,"Taipei, TaiwanSingapore Airlines",Boeing B-747-4129V-SPK,83/179(0)
58,07 Nov 2000,"Luabo, Democratic Republic CongoMalu Aviation",Antonov 32BER-AFA,2/11(0)
59,09 Nov 2000,"Fort Wayne, IndianaSuperior Aviation",Swearingen SA.226TC Metro IIN731AC,1/1(0)
60,15 Nov 2000,"Near Luanda, AngolaAsa Pesada",Antonov AN-26D2-FCG,57/57(0)
61,20 Nov 2000,"Miami, FloridaAmerican Airlines",Airbus A300-600RN14056,1/114(0)
62,11 Dec 2000,"Near Sumacal, Beni, BOServicio Aereo Manchupo",Cessna 206CP-1721,6/6(0)
0,04 Jan 2001,"Zheng Zou AB, ChinaMilitary - People's Liberation Army",Shaanxi Yunshuji Y-8/Yunshuji Y-831242/31243,16/16(6)
1,08 Jan 2001,"Near Silimo, IndonesiaMilitary - Tentara Nasional Indonesia Navy",CASA 212-MP Aviocar 200U-614,9/9(0)
2,23 Jan 2001,"Eider Point, AlaskaMajestic Air Cargo",Douglas C-47A-30-DK (DC-3C)N19454,2/2(0)
3,25 Jan 2001,"Ciudad Bolivar, VenezuelaRutaca Airlines",Douglas DC-3C (C47A-DL)YV-224C,24/24(0)
4,27 Jan 2001,"Byers, ColoradoNorth Bay Charter",Beech King Air 200 CatpassN81PF,10/10(0)
5,31 Jan 2001,"El Yopal, ColombiaLineas Aereas Suramericanas",Sud Aviation SE-210 Caravelle 10RHK-3932X,3/6(0)
6,08 Feb 2001,"Nurnberg, GermanyE.A.S. Aeroservizi",Learjet 35AI-MOCO,3/3(0)
7,08 Feb 2001,"Beaver Island, MinnesotaNorthern Illinois Flight Center",Swearingen SA.227AT Merlin IVCN318DH,2/6(0)
8,10 Feb 2001,"Jakobkondre, SurinameGum Air Charter",GAF Nomad N24APZ-TBP,10/10(0)
9,27 Feb 2001,"Near Granton Harbour, ScotlandLoganair",Shorts 360-100G-BNMT,2/2(0)
10,03 Mar 2001,"Unadilla, GeorgiaMilitary - Florida Army National Guard",Short 36093-1336,21/21(0)
11,03 Mar 2001,"Bangkok, ThailandThai Airways",Boeing B-737-4D7HS-TDC,1/5(0)
12,15 Mar 2001,"Medina, Saudi ArabiaVnukovo Airlines",Tupolev 154MRA-85619,3/174(0)
13,24 Mar 2001,"Gustavia, St. Barthélémy, French West IndiesAir Caraibes",de Havilland Canada DHC-6 Twin OtterF-OGES,19/19(1)
14,26 Mar 2001,"Jadura, IndonesiaMerpati Nusantara Airlines",Fokker F-27 Friendship 500FPK-MFL,3/3(0)
15,29 Mar 2001,"Near Aspen, ColoradoJetwingsco Inc. - Private Charter",Grummand Gulfstream IIIN303GA,18/18(0)
16,04 Apr 2001,"Adar Yeil, SudanMilitary - Sudan Air Force",Antonov AN-24?,14/30(0)
17,07 Apr 2001,"Thanh Tranh Village, VietnamSFC Vietnam - Charter - Full Account",Mil Mi-18 HelicopterVN-8415,16/16(0)
18,28 Apr 2001,"Near Roque Perez, ArgentinaPrivate - Techint group",Cessna 208B Grand CaravanLV-WSC,10/10(0)
19,16 May 2001,"Malatya, TurkeyMilitary - Turkish Air Force",CASA CN-235M-10?,34/34(0)
20,17 May 2001,"Near Sari, IranFaraz Qeshm Airlines",Yakovlev YAK-40EP-TQP,30/30(0)
21,17 May 2001,"Mendoza, ArgentinaFuerza Aérea Argentina",Fokker F-27 Friendship 400MTC-76,5/5(0)
22,22 May 2001,"Near Myakotino, RussiaMilitary - Russian Air Force",Antonov 12MGARA-12135,7/7(0)
23,15 Jun 2001,"Jayapura, IndonesiaManunggal Air",Transall C-160NGPK-VTP,1/19(0)
